id,name,award_level,total_credits,delivery_mode,campuses,url,tags,description
355871,Bachelor of Science in Nursing in response to workforce,BS,120,TBD,TBD,TBD,network;nursing,"needs in that industry. The School of Nursing had been established in the early years of the College and has graduated more than 23,000 nurses since. In 2012, the school would be renamed the Benjamin Leon School MDC TV debuted in 2008 as the College's own televi sion network. MDC TV is broadcast to millions of cable TV subscribers throughout Miami-Dade County and has won a total of seven Emmys and 14 nominations from the Suncoast Regional Chapter of the National Academy In 2009, The Carnegie Fou"
764315,Associate in Science degrees in both Fashion Design,AS,60,TBD,TBD,TBD,,"and Fashion Merchandising, as well as a College Credit"
484875,Certificate in Pattern Making and Construction.,CERTIFICATE,18,TBD,TBD,TBD,ai;business;construction;data,"The Idea Center at MDC opened in 2016 as an entrepreneurship for MDC students."" The Idea Center opportunities and experiential learning programs to MDC Also in 2016, MDC acquired the historic David W. Dyer building, which is being restored for academic and civic purposes. Built in 1933, the building is on the National Registry of Historic Places and on the City of In 2017 MDC was selected to join the exclusive Frontier Set, a group of higher education institutions aiming to eliminate the racial,"
446341,"Associate in Arts, Associate in Science, and College",AS,60,TBD,TBD,TBD,,
169879,"3. Certificate of health and accident insurance, prior",CERTIFICATE,18,TBD,TBD,TBD,,"whose diploma does not meet the criteria above, and in cases where MDC has reason to believe that the diploma is not valid or was not earned from an entity that pro In compliance with 34 CFR 668.16 (p), reasons that the high school diploma may not be accepted or may 1. The issuance of the high school diploma was based only on a test and/or payment of fee. 2. There is conflicting high school information. 3. The high school was previously questioned as being a diploma mill by MDC or other accredit"
132366,Associate in Science Degree 59,AS,60,TBD,TBD,TBD,,
141054,Associate in Science Degree,AS,60,TBD,TBD,TBD,,
840171,Associate in Science degree: Awarded to students,AS,60,TBD,TBD,TBD,ai,who successfully complete a program of career and technical instruction consisting of lower division college credit courses to prepare for entry into employment. The
463566,ASSOCIATE IN ARTS DEGREE PATHWAY GUIDE,AA,60,TBD,TBD,TBD,ai,Select at least 1 course from the 4 State Core options. Lab Credits are not allowed in this area. Select at least 1 course from the 6 State Core options. Jazz and Popular Music in America (W) Select at least 1 course from the 6 State Core options. To meet the Civic Literacy Competency Requirement for graduation one course selection should be AMH 2010 or AMH 2020 or POS 2041. Select at least 1 course from the 13 State Core options. Lab Credits are not allowed in this area. Select at least 1 cours
279843,Associate in Science degrees are also transferable to,AS,60,TBD,TBD,TBD,,mation about transfer guarantees and agreements can be Miami Dade College offers baccalaureate degrees in
39468,Associate in Science degree programs to baccalaure,AS,60,TBD,TBD,TBD,,ate degree programs. Courses within an Associate in Applied Science degree program may articulate into a baccalaureate degree program on an individual or block basis as authorized in local interinstitutional F. The articulation agreement must guarantee the articu lation of 9 credit hours toward a postsecondary degree in early childhood education for programs approved by the State Board of Education and the Board of Governors which: (a) Award a child devel opment associate credential issued by th
700651,Bachelor of Applied Science (B.A.S.),AS,60,TBD,TBD,TBD,ai,"Clinical Laboratory Sciences . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 78 Film, Television & Digital Production . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 78 Health Science - Histotechnology Concentration . . . . . . . . "
117534,Bachelor of Science (B.S.),BS,120,TBD,TBD,TBD,biotech;data,Applied Artificial Intelligence . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 155 Biological Sciences - Biopharmaceutical Sciences Concentration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 155 Biological Sciences - Biotechnology Concentration . . . . . . . . . . . . . . . . . . . . . .
74828,Certificate of Professional Preparation (CPP),CERTIFICATE,18,TBD,TBD,TBD,cybersecurity;network,Cyber Defense . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 222 Educator PreparatIon Institute . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 222 Instructional Design and Technology . . . . . . . . . .
155966,Certificate of,CERTIFICATE,18,TBD,TBD,TBD,,Professional Preparation (CPP) Program Sheets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 223
71850,Associate in Arts Degree (AA),AA,60,TBD,TBD,TBD,accounting;architecture,Accounting . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 231 Agriculture . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 231 Anthropology . . . . . . . . . . 
819588,Associate in Science Degree (AS),AS,60,TBD,TBD,TBD,accounting;animation;architecture;construction,Accounting Technology . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 245 Animation & Game Art . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 245 Applied Artificial Intelligence . . . . . . . . . . . . . .
99271,Bachelor of Science (B.S.) and the Bachelor of Applied,BAS,120,TBD,TBD,TBD,,
414464,Bachelor of Applied Science | Code: P9211 | 130 credits,BAS,120,TBD,TBD,TBD,,
509387,The Bachelor of Applied Science (B.A.S.) in Clinical Laboratory Sciences,AS,60,TBD,TBD,TBD,ai;data,"is designed to accommodate the unique demands for entry and advancement within the health science industry. Medical Laboratory Scientist work with pathologists and other laboratory professionals in performing and analyzing laboratory testing used for diagnosis, treatment, and prevention of disease. Medical Laboratory Sciences program graduates are eligible for certification by the American Association of Bioanalysts (AAB), American Society for Clinical Pathology (ASCP), and American Medical Tech"
781999,Bachelor of Applied Science | Code: P9220 | 120 credits,BAS,120,TBD,TBD,TBD,,
762281,Bachelor of Applied Science | Code: P9212 | 130 credits,BAS,120,TBD,TBD,TBD,,
118502,The Bachelor of Applied Science (B.A.S.) in Health Sciences with,AS,60,TBD,TBD,TBD,ai;chemistry,"concentration in Histotechnology is designed to accommodate the unique demands for entry and advancement within the health science industry. Histotechnologist process patient samples for the detection of tissue abnormalities in order to determine the best treatment for the diseases causing the abnormalities. In addition to the dyes and chemicals used to prepare and stain tissues for microscopy, immunological and DNA techniques are utilized to determine specific cell types in tumors. Histotechnol"
51860,Bachelor of Applied Science | Code: P9210 | 130 credits,BAS,120,TBD,TBD,TBD,,
886213,The Bachelor of Applied Science in Health Science - Physician,BAS,120,TBD,TBD,TBD,ai,"Assistant Studies Concentration is designed to address the critical shortage of healthcare professionals by providing graduates a con tinuance of technical, supervisory, and management skills necessary to meet workforce needs and labor market projections. Students will be provided with opportunities to develop discipline-specific medical skills and to expand their knowledge by participating in structured clinical experiences under the supervision of Physician"
166160,Bachelor of Applied Science | Code: P9200 | 120 credits,BAS,120,TBD,TBD,TBD,,
553977,Bachelor of Applied Science | Code: P9203 | 120 credits,BAS,120,TBD,TBD,TBD,,
285313,Bachelor of Applied Science | Code: P9204 | 120 credits,BAS,120,TBD,TBD,TBD,,
91607,Bachelor of Applied Science | Code: P9201 | 120 credits,BAS,120,TBD,TBD,TBD,,
298679,Bachelor of Applied Science | Code: P9202 | 120 credits,BAS,120,TBD,TBD,TBD,,
743269,Bachelor of Applied Science | Code: P9106 | 120 credits,BAS,120,TBD,TBD,TBD,,
357540,Bachelor of Applied Science | Code: P9110 | 120 credits,BAS,120,TBD,TBD,TBD,,
722585,Bachelor of Applied Science | Code: P9105 | 120 credits,BAS,120,TBD,TBD,TBD,,
511997,Bachelor of Applied Science | Code: P9300 | 120 creditss,BAS,120,TBD,TBD,TBD,ai,"Supply chain management is an interdisciplinary field that functions, facilities, and activities and seeks to manage those activities to enhance a company's competitive advantage. The"
365489,Bachelor of Applied Science with a major in Supply Chain,BAS,120,TBD,TBD,TBD,ai,
267641,Bachelor of Applied Science | Code: P9301 | 120 credits,BAS,120,TBD,TBD,TBD,ai;business,"Supply chain management is an interdisciplinary field that emphasiz es cross-functional integration of diverse business functions, facili ties, and activities and seeks to manage those activities to enhance"
109719,Bachelor of Applied Science | Code: P9302 | 120 credits,BAS,120,TBD,TBD,TBD,ai;business,"Supply chain management is an interdisciplinary field that emphasiz es cross-functional integration of diverse business functions, facili ties, and activities and seeks to manage those activities to enhance"
607073,Bachelor of Applied Science | Code: P9303 | 120 credits,BAS,120,TBD,TBD,TBD,ai,"Supply chain management is an interdisciplinary field that functions, facilities, and activities and seeks to manage those activities to enhance a company's competitive advantage. The"
606840,Bachelor of Applied Science,BAS,120,TBD,TBD,TBD,,
843299,The Bachelor of Applied Science (B.A.S.) in Clinical Laboratory Sciences is designed to accommodate the unique,AS,60,TBD,TBD,TBD,ai;data,"demands for entry and advancement within the health science industry. Clinical Laboratory Scientist work with pathologists and other laboratory professionals in performing and analyzing laboratory testing used for diagnosis, treatment, and prevention of disease. Clinical Laboratory Sciences program graduates are eligible for certification by the American Association of Bioanalysts (AAB), American Society for Clinical Pathology (ASCP), and American Medical Technologist (AMT). Upon completion of t"
320467,Bachelor of Applied Science | P9220 | 120 credits,BAS,120,TBD,TBD,TBD,,
773526,The Bachelor of Applied Science (B.A.S.) in Health Sciences with concentration in Histotechnology is designed,AS,60,TBD,TBD,TBD,ai;chemistry;data,"to accommodate the unique demands for entry and advancement within the health science industry. Histotechnologists process patient samples for the detection of tissue abnormalities in order to determine the best treatment for the diseases causing the abnormalities. In addition to the dyes and chemicals used to prepare and stain tissues for microscopy, immunological and DNA techniques are utilized to determine specific cell types in tumors. Histotechnologists work in conjunction with the patholog"
524768,The Bachelor of Applied Science in Health Science Physician Assistant Studies Concentration is designed to,BAS,120,TBD,TBD,TBD,ai,"address the critical shortage of healthcare professionals by providing graduates a continuance of technical, supervisory, and management skills necessary to meet workforce needs and labor market projections. Students will be provided with opportunities to develop discipline-specific medical skills and to expand their knowledge by participating in structured clinical experiences under the supervision of Physician Assistants and physicians. I. GENERAL EDUCATION REQUIREMENTS - 36 CREDITS REQUIRED G"
223055,Bachelor of Applied Science | Code: P9300 | 120 Credits,BAS,120,TBD,TBD,TBD,ai;business,"Supply chain management is an interdisciplinary field that emphasizes cross-functional integration of diverse business functions, facilities, and activities and seeks to manage those activities to enhance a company's"
844553,Bachelor of Science | Code: S9520 | 120 credits,BS,120,TBD,TBD,TBD,,
844649,Bachelor of Science | Code: S5201 | 120 credits,BS,120,TBD,TBD,TBD,,
154678,Bachelor of Science | Code: S5200 | 120 credits,BS,120,TBD,TBD,TBD,,
769653,Bachelor of Science | Code: S5202 | 120 credits,BS,120,TBD,TBD,TBD,,
119818,Bachelor of Science | Code: S9515 | 120 credits,BS,120,TBD,TBD,TBD,,
169650,Bachelor of Science | Code: S9510 | 120 credits,BS,120,TBD,TBD,TBD,,
398256,Bachelor of Science | Code: S9270 | 120 credits,BS,120,TBD,TBD,TBD,,
289669,Bachelor of Science | Code: S9100 | 134 credits,BS,120,TBD,TBD,TBD,engineering;network,"Electrical and Computer Engineering Technology (ECET) is part of almost everything society depends on. The ECET program at Miami Dade College is designed to provide students with a well-rounded hands-on education in electrical and computer systems. The program emphasizes the application of electrical/electronic and computer hardware and software principles and devices. Students study and learn valuable skills from various areas such as: computer hardware and interfacing, computer-based instrumen"
331517,Bachelor of Science | Code: S9260 | 120 credits,BS,120,TBD,TBD,TBD,,The four-year baccalaureate degrees in Education are designed to prepare students to become teachers and pass state professional certification exams. An internship in a school setting is required to provide practical experience. The completer will earn a professional
487613,Bachelor of Science | Code: S4301 | 120 credits,BS,120,TBD,TBD,TBD,,The four-year baccalaureate degrees in Education are designed to prepare students to become teachers and pass state professional certification exams. An internship in a school setting is required to provide practical experience. The completer will earn a professional
189547,Bachelor of Science | Code: S9500 | 120 credits,BS,120,TBD,TBD,TBD,,
146514,The Bachelor of Science (BS) in Information Systems Technology (IST),BS,120,TBD,TBD,TBD,ai;network,"degree program prepares students with essential skills and knowledge to effectively support the design, planning and management of infor mation infrastructures and information resources within diverse organi zational settings The Networking Concentration focuses on how to plan, design, implement and maintain network infrastructures to keep orga nizations running smoothly. Students learn how to select technologies that best suit the client's needs. Students also acquire the technical skills neede"
90609,Bachelor of Science | Code: S9501 | 120 credits,BS,120,TBD,TBD,TBD,,
410386,Bachelor of Science in Nursing | Code: N9100 | 125 credits,BS,120,TBD,TBD,TBD,nursing,
336132,The Bachelor of Science in Nursing (BSN) is designed for licensed RNs,BS,120,TBD,TBD,TBD,ai;nursing,"with an A.S. degree in Nursing from regionally accredited programs who wish to attain the next level of education in order to provide professional nursing care in all clinical practice settings around the world, or to be eligible for advanced nursing leadership, manage ment, staff education and practice positions, in a multicultural"
845983,Bachelor of Science | Code: S9250 | 120 credits,BS,120,TBD,TBD,TBD,,The four-year baccalaureate degrees in Education are designed to prepare students to become teachers and pass state professional certification exams. An internship in a school setting is required to provide practical experience. The completer will earn a professional
630045,Bachelor of Science | Code: S9210 | 120 credits,BS,120,TBD,TBD,TBD,,The four-year baccalaureate degrees in Education are designed to prepare students to become teachers and pass state professional certification exams. An internship in a school setting is required to provide practical experience. The completer will earn a professional
153959,Bachelor of Science (BS),BS,120,TBD,TBD,TBD,,
33080,Bachelor of Science | Code: S9121 | 120 credits,BS,120,TBD,TBD,TBD,,
876480,Bachelor of Science | Code: S9120 | 120 credits,BS,120,TBD,TBD,TBD,,
356020,Bachelor of Science | Code: S0122 | 120 credits,BS,120,TBD,TBD,TBD,,
784727,The Bachelor of Science (BS) in Cybersecurity degree is designed to help meet the local need for cyber security,BS,120,TBD,TBD,TBD,ai;cs;cybersecurity;data;network,"professionals. Students in this program gain detailed understanding and hands-on skills regarding the tools and protocols needed to use and manage cybersecurity infrastructure, risks, and vulnerabilities in real-world situations. The program curriculum includes courses in network defense, penetration testing, computer and network forensics, risk management and ethics, among others. These courses prepare students for multiple industry certifications such as Certified Ethical Hacker, Computer Hack"
566226,"Upon completion of the Bachelor of Science Degree with a major in Early Childhood Education program,",BS,120,TBD,TBD,TBD,ai;cs;data,"the student will be eligible to obtain a Florida Educator Certification in Pre-school (Birth to Age 4) and Pre- Kindergarten/ Primary (Age 3 to Grade 3) with endorsements in English for Speakers of Other Languages (ESOL), Courses require a grade of ""C"" or higher to satisfy the general education requirement. Select at least one course from the six State Core options. Select at least 1 course from the 4 State Core options. Lab Credits are not allowed in this area. 1114, or MAC 1140 and MAC 1114, o"
542276,The Bachelor of Science (BS) in Information Systems Technology (IST) degree program prepares students with,BS,120,TBD,TBD,TBD,ai;network,"essential skills and knowledge to effectively support the design, planning and management of information infrastructures and information resources within diverse organizational settings. The Networking Concentration focuses on how to plan, design, implement and maintain network infrastructures to keep organizations running smoothly. Students learn how to select technologies that best suit the client's needs. Students also acquire the technical skills needed to install, maintain, and extend multi"
627772,Bachelor of Science | Code: N9100| 125 credits,BS,120,TBD,TBD,TBD,,
907240,The Bachelor of Science in Nursing (BSN) is designed for licensed RNs with an A.S. degree in Nursing from,AS,60,TBD,TBD,TBD,ai;nursing,"regionally accredited programs who wish to attain the next level of education in order to provide professional nursing care in all clinical practice settings around the world, or to be eligible for advanced nursing leadership, management, staff education and practice positions, in a multicultural society. Courses require a grade of ""C"" or higher to satisfy the general education requirement. Select at least one course from the six State Core options. Select at least one course from the State Core"
381003,Certificate of Professional,CERTIFICATE,18,TBD,TBD,TBD,,
361138,Certificate of Professional Preparation | Code: PBC04 | 24 credits,CERTIFICATE,18,TBD,TBD,TBD,cybersecurity;data;network,"Cyber Defense is a cybersecurity specialty for professionals who pro tect and defend an organization's information system from various threats. They use data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze cybersecu rity events and mitigate potential cyber-attacks and data breaches."
582815,The Certificate of Professional Preparation (CPP) in Cyber Defense,CERTIFICATE,18,TBD,TBD,TBD,cybersecurity,is designed for current and pre-professionals interested in working in the field of cybersecurity operations. Note: Program Admissions Requirements: Baccalaureate degree in any field of study from a
752616,Certificate of Professional Preparation | Code: 69000 | 21 credits,CERTIFICATE,18,TBD,TBD,TBD,,The Educator Preparation Institute (EPI) is a state approved compe tency-based alternative certification program for individuals who
